REFCODE,A,B,C,α,β,γ,Volume,Density,Atom Count,Total Dispersion Correction Energy (vdW) eV,Total Energy eV,Difference in Energy eV,Total Energy Per Molecule eV,Energy per Atom (vdW) eV,CC,CH,CCl,CO,CS,CBr,CN,HBr,HH,HO,HS,HCl,HN,OCl,OO,OS,BrO,ON,NN,ClCl,NS,SS,NCl,SCl,ClBr,SBr,NBr,BrBr,FF,FO,FC,FH,FS,FCl,FN,FBr,II,BrI,ClI,FI,SI,OI,NI,CI,HI,BAND GAP
HEJRIZ,9.158,9.669,11.931,92.92,97.92,115.769,935.076,1.46474,92,-13674.177,-13667.858,-6.318,-6833.929,-0.068679348,8.5,33.7,0,0,0,0,0,0,32.2,4.1,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.6,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.901
HEJRUL,10.538,10.538,11.149,110.589,110.589,58.75,968.472,1.61298,92,-18100.404,-18094.097,-6.307,-9047.04855,-0.068556522,9.3,20.5,0,2.5,0,0,0,0,20.6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,3.1,5.4,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.763
HEZKEE,11.902,11.244,11.881,90,106.416,90,1525.048,1.50849,156,-23023.607,-23012.563,-11.044,-5753.14085,-0.07079359,4.4,39.3,0,0,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.564
HIGLAL,11.16,4.673,17.797,90,109.256,90,876.26,2.5697,64,-19736.61,-19731.239,-5.371,-9865.61965,-0.083917187,7.3,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,8.5,23.5,0,0,0,0,0,0.2,0,0,21.7,0,0,0,7.1,0,1.291
HIXNEJ,6.624,6.941,10.334,72.233,87.286,71.056,427.279,1.62137,38,-6654.13,-6651.228,-2.902,-3325.61405,-0.076363158,14.8,7.9,0.2,6.4,0,0,0,0,14.8,28.6,0,17.5,0,6.5,1.8,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.464
HOFDUD,7.361,8.898,9.871,63.976,74.81,67.73,534.027,2.64894,38,-7047.712,-7044.298,-3.413,-3522.1491,-0.089828947,13.3,6.7,0,5.6,0,0,0,0,8.6,15.4,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,19.2,0,1.2,23.2,2.325
HOFHER,10.827,10.827,11.288,116.167,116.167,58.232,971.232,1.73433,84,-17754.632,-17748.487,-6.146,-4437.12165,-0.073163095,4.5,10.3,1.5,16,0,0,1.9,0,3.9,28.3,0,12.3,0.1,7,10.7,0,0,1.8,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.765
HOJFOD,11.321,9.255,12.648,90,112.387,90,1225.335,1.34594,140,-16296.515,-16287.978,-8.537,-4071.994425,-0.06098,0,17.9,0,0,0,0,0,0,52.9,12.6,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.005
HOKKIC,10.649,3.735,20.774,90,93.893,90,824.463,1.54006,80,-13747.742,-13742.103,-5.639,-3435.5258,-0.07048375,9.8,14.4,0,3.8,0,0,2,0,20,29.9,0,0,0.1,0,0.6,0,0,0.5,0.4,0,0,0,0,0,0,0,0,0,0.8,1.6,0.3,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
HOKKOI,5.082,18.698,9.252,90,90,90,879.168,1.58015,80,-16328.934,-16323.91,-5.025,-4080.977375,-0.06280875,2.8,12.5,0,10.3,0,0,0.2,0,16.8,23.1,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.8,9.5,18.9,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1.97
