Entry,Index,NAME,a,b,c,alpha,gamma,beta,r_factor,calculated_density
HOMOLUMOCHON_final|PUKMIS|1869,1870,PUKMIS,11.9717,6.058,17.948,90.0,90.0,102.682,6.6,1.424
HOMOLUMOCHON_final|PUKTOF|1870,1871,PUKTOF,15.1284,8.8584,16.3355,90.0,90.0,90.0,3.91,1.167
HOMOLUMOCHON_final|PUKZEB|1871,1872,PUKZEB,7.5838,17.6558,9.6242,90.0,90.0,98.371,3.37,1.434
HOMOLUMOCHON_final|PUKZOL|1872,1873,PUKZOL,8.333,22.7385,10.352,90.0,90.0,105.193,4.35,1.356
HOMOLUMOCHON_final|PULQUJ|1873,1874,PULQUJ,11.495,15.474,9.384,90.0,90.0,99.403,5.94,1.32
HOMOLUMOCHON_final|PUNMER|1874,1875,PUNMER,3.7588,18.2354,15.3571,90.0,90.0,92.098,3.24,1.429
HOMOLUMOCHON_final|PUSMUM|1875,1876,PUSMUM,13.9081,10.98,13.664,90.0,90.0,118.057,4.18,1.354
HOMOLUMOCHON_final|PUWZAJ|1876,1877,PUWZAJ,13.173,13.384,11.211,90.0,90.0,110.931,5.22,1.423
HOMOLUMOCHON_final|QAJMUL|1877,1878,QAJMUL,7.7203,14.2043,21.28,90.0,90.0,90.0,4.25,1.297
HOMOLUMOCHON_final|QAJYAD|1878,1879,QAJYAD,22.142,11.016,5.992,90.0,90.0,90.0,6.69,1.451
HOMOLUMOCHON_final|QALPAW|1879,1880,QALPAW,6.557,20.0101,7.6041,90.0,90.0,105.323,2.58,1.261
HOMOLUMOCHON_final|QALRUS|1880,1881,QALRUS,10.7247,11.3299,12.3872,90.0,90.0,102.341,4.54,1.244
HOMOLUMOCHON_final|QALWOR|1881,1882,QALWOR,6.12266,10.4051,22.3943,90.0,90.0,90.0,2.91,1.817
HOMOLUMOCHON_final|QANJEV|1882,1883,QANJEV,9.4,10.301,14.955,90.0,90.0,106.89,4.28,1.301
HOMOLUMOCHON_final|QANTUV02|1883,1884,QANTUV02,6.016,14.299,26.878,90.0,90.0,90.0,8.1,1.38
HOMOLUMOCHON_final|QAQWUB|1884,1885,QAQWUB,10.4729,10.9037,13.0419,90.0,90.0,90.0,3.99,1.246
HOMOLUMOCHON_final|QAQXEM|1885,1886,QAQXEM,11.3677,14.7184,12.2977,90.0,90.0,116.209,4.06,1.265
HOMOLUMOCHON_final|QATJEB|1886,1887,QATJEB,6.4476,13.778,17.0874,90.0,90.0,90.0,3.24,1.284
HOMOLUMOCHON_final|QEKPAY|1887,1888,QEKPAY,12.3801,8.3607,26.698,90.0,90.0,100.044,4.53,1.449
HOMOLUMOCHON_final|QEQNEG|1888,1889,QEQNEG,11.0388,12.2504,15.617,90.0,90.0,99.91,4.46,1.346
HOMOLUMOCHON_final|QERDEX|1889,1890,QERDEX,18.5321,6.277,21.1387,90.0,90.0,94.466,6.22,1.261
HOMOLUMOCHON_final|QERYES|1890,1891,QERYES,16.805,3.8795,18.381,90.0,90.0,98.953,5.52,1.522
HOMOLUMOCHON_final|QEWWOF|1891,1892,QEWWOF,23.8,6.428,15.69,90.0,90.0,121.35,3.2,1.395
HOMOLUMOCHON_final|QEXLOV|1892,1893,QEXLOV,6.0782,16.5573,17.4989,90.0,90.0,90.348,4.93,1.299
HOMOLUMOCHON_final|QEYLAI|1893,1894,QEYLAI,6.6218,9.8971,16.8035,90.0,90.0,90.0,3.28,1.473
HOMOLUMOCHON_final|QIBFAJ|1894,1895,QIBFAJ,10.247,11.0605,11.4148,104.893,116.008,103.557,4.35,1.385
HOMOLUMOCHON_final|QIBFEN|1895,1896,QIBFEN,7.0114,16.4247,14.0029,90.0,90.0,101.756,4.27,1.537
HOMOLUMOCHON_final|QIBYAC|1896,1897,QIBYAC,9.008,12.238,17.269,92.111,106.751,104.848,7.23,1.217
HOMOLUMOCHON_final|QIKFEV01|1897,1898,QIKFEV01,12.058,7.054,24.398,90.0,90.0,90.0,4.2,1.365
HOMOLUMOCHON_final|QIKFIZ01|1898,1899,QIKFIZ01,17.779,5.535,10.652,90.0,90.0,90.0,3.1,1.351
HOMOLUMOCHON_final|QIQXIX|1899,1900,QIQXIX,11.5511,10.4564,11.2846,90.0,90.0,112.562,4.5,1.057
HOMOLUMOCHON_final|QITJEJ|1900,1901,QITJEJ,9.786,10.0112,10.4204,90.0,90.0,107.503,3.68,1.352
HOMOLUMOCHON_final|QIWHEK|1901,1902,QIWHEK,5.1912,11.6401,21.277,90.0,90.0,90.0,4.29,1.2
HOMOLUMOCHON_final|QIWXIE|1902,1903,QIWXIE,6.0801,16.849,11.4813,90.0,90.0,100.137,5.56,1.533
HOMOLUMOCHON_final|QIZMER|1903,1904,QIZMER,9.2931,12.4808,18.4099,84.11,78.71,84.97,7.57,1.221
HOMOLUMOCHON_final|QOFHID|1904,1905,QOFHID,5.3337,13.6965,25.2514,90.0,90.0,90.0,3.4,1.273
HOMOLUMOCHON_final|QOGNUW|1905,1906,QOGNUW,9.2764,10.7672,12.7431,75.015,67.002,81.255,3.74,1.348
HOMOLUMOCHON_final|QOHRAH|1906,1907,QOHRAH,18.139,11.275,10.681,90.0,90.0,105.232,9.42,1.347
HOMOLUMOCHON_final|QOHRIP|1907,1908,QOHRIP,6.186,10.287,11.438,88.52,87.86,82.13,11.14,1.389
HOMOLUMOCHON_final|QOPVIB|1908,1909,QOPVIB,6.7104,7.8526,26.225,90.0,90.0,91.323,5.88,1.353
HOMOLUMOCHON_final|QOPVOH|1909,1910,QOPVOH,12.0928,6.4167,19.0081,90.0,90.0,92.286,4.19,1.331
HOMOLUMOCHON_final|QOPVUN|1910,1911,QOPVUN,11.1407,6.6077,21.4826,90.0,90.0,95.365,3.67,1.305
HOMOLUMOCHON_final|QORQUK|1911,1912,QORQUK,9.971,6.4861,23.1501,90.0,90.0,94.464,8.44,1.896
HOMOLUMOCHON_final|QORRUL|1912,1913,QORRUL,23.3824,5.9271,11.1373,90.0,90.0,90.0,2.69,1.886
HOMOLUMOCHON_final|QOSTIC|1913,1914,QOSTIC,7.316,9.663,13.434,98.369,91.651,97.204,4.29,1.375
HOMOLUMOCHON_final|QOTZIJ|1914,1915,QOTZIJ,6.7237,18.612,10.9198,90.0,90.0,90.69,4.86,1.368
HOMOLUMOCHON_final|QOXHUH|1915,1916,QOXHUH,23.04,11.81,9.619,90.0,90.0,92.597,4.76,1.292
HOMOLUMOCHON_final|QUBRAG|1916,1917,QUBRAG,13.3182,6.3558,19.1422,90.0,90.0,102.8215,3.47,1.435
HOMOLUMOCHON_final|QUBREK|1917,1918,QUBREK,7.3266,20.745,10.3288,90.0,90.0,105.666,4.5,1.438
HOMOLUMOCHON_final|QUCJOO|1918,1919,QUCJOO,8.365,7.05,15.983,90.0,90.0,92.27,2.97,1.409
HOMOLUMOCHON_final|QUCJUU|1919,1920,QUCJUU,9.346,8.001,22.528,90.0,90.0,96.843,4.9,1.272
HOMOLUMOCHON_final|QUJGOS|1920,1921,QUJGOS,12.4168,10.6745,14.5062,90.0,90.0,121.994,4.26,1.248
HOMOLUMOCHON_final|QUKKOX|1921,1922,QUKKOX,8.4864,31.677,5.6843,90.0,90.0,90.0,4.56,1.392
HOMOLUMOCHON_final|QUKPOC|1922,1923,QUKPOC,7.979,14.153,10.332,90.0,90.0,108.02,2.57,1.283
HOMOLUMOCHON_final|QULREV|1923,1924,QULREV,5.9633,11.477,30.833,90.0,90.0,90.0,4.34,1.21
HOMOLUMOCHON_final|QULRIZ|1924,1925,QULRIZ,5.9609,11.482,30.825,90.0,90.0,90.0,4.34,1.211
HOMOLUMOCHON_final|QUYGOH|1925,1926,QUYGOH,11.048,8.187,22.858,90.0,90.0,102.242,5.44,1.507
HOMOLUMOCHON_final|QUYHAU|1926,1927,QUYHAU,9.0333,9.4222,14.029,80.943,80.578,78.034,4.29,1.344
HOMOLUMOCHON_final|RACMUF|1927,1928,RACMUF,11.477,14.3728,12.107,90.0,90.0,115.3303,4.2,1.278
HOMOLUMOCHON_final|RAGGUD|1928,1929,RAGGUD,12.24,12.24,13.608,90.0,90.0,90.0,2.51,1.578
HOMOLUMOCHON_final|RAVRAI|1929,1930,RAVRAI,5.9691,17.795,9.423,90.0,90.0,105.19,4.19,1.377
HOMOLUMOCHON_final|RAWWUI|1930,1931,RAWWUI,7.1861,10.2628,15.5477,90.0,90.0,90.0,3.47,1.259
HOMOLUMOCHON_final|RAZZAU|1931,1932,RAZZAU,10.305,20.9052,5.7182,90.0,90.0,90.0,4.54,1.312
HOMOLUMOCHON_final|RAZZEY|1932,1933,RAZZEY,5.8425,9.9252,21.3739,90.0,90.0,90.0,3.44,1.304
HOMOLUMOCHON_final|REBBUW|1933,1934,REBBUW,12.376,17.725,7.1,90.0,90.0,97.42,6.7,1.348
HOMOLUMOCHON_final|REDJIU|1934,1935,REDJIU,10.415,11.108,18.981,90.0,90.0,90.0,2.89,1.221
HOMOLUMOCHON_final|REDKIV|1935,1936,REDKIV,12.4597,10.2158,12.0416,90.0,90.0,91.997,6.55,1.237
HOMOLUMOCHON_final|REGHUH|1936,1937,REGHUH,14.9879,13.5965,8.7184,90.0,90.0,95.95,4.46,1.186
HOMOLUMOCHON_final|REHCAJ|1937,1938,REHCAJ,28.3243,11.4545,7.668,90.0,90.0,90.0,4.1,1.342
HOMOLUMOCHON_final|REHXOS|1938,1939,REHXOS,7.6288,27.022,10.6632,90.0,90.0,108.022,6.32,1.231
HOMOLUMOCHON_final|REQGAW|1939,1940,REQGAW,13.111,10.123,14.928,90.0,90.0,90.0,6.82,1.363
HOMOLUMOCHON_final|REWLAH|1940,1941,REWLAH,11.8849,4.9928,20.8419,90.0,90.0,97.499,3.68,1.356
HOMOLUMOCHON_final|RIDBUC|1941,1942,RIDBUC,6.3206,19.611,20.8498,90.0,90.0,90.0,5.31,1.361
HOMOLUMOCHON_final|RIGBEP|1942,1943,RIGBEP,14.72,6.1434,24.2503,90.0,90.0,92.262,5.24,1.223
HOMOLUMOCHON_final|RIGJIB|1943,1944,RIGJIB,7.8995,9.5228,21.093,90.0,90.0,90.0,2.58,1.316
HOMOLUMOCHON_final|RIHCER|1944,1945,RIHCER,10.005,6.1633,20.1048,90.0,90.0,97.5817,4.12,1.563
HOMOLUMOCHON_final|RIHDUI|1945,1946,RIHDUI,11.6772,13.8721,13.1182,90.0,90.0,119.875,5.33,1.357
HOMOLUMOCHON_final|RIKPEG|1946,1947,RIKPEG,7.19,8.402,15.29,90.0,90.0,90.0,4.54,1.44
HOMOLUMOCHON_final|RISFIJ|1947,1948,RISFIJ,7.2781,9.5338,20.4017,90.0,90.0,90.0,2.41,1.306
HOMOLUMOCHON_final|RIZGEM01|1948,1949,RIZGEM01,10.114,11.823,13.297,106.953,91.032,91.408,6.52,1.223
HOMOLUMOCHON_final|ROFVUE|1949,1950,ROFVUE,7.0222,30.5501,7.8539,90.0,90.0,112.3,6.35,1.352
HOMOLUMOCHON_final|ROFYOB|1950,1951,ROFYOB,15.125,9.3901,16.446,90.0,90.0,108.416,3.24,1.368
HOMOLUMOCHON_final|ROHRIQ|1951,1952,ROHRIQ,14.121,7.282,23.965,90.0,90.0,98.964,5.64,1.246
HOMOLUMOCHON_final|ROHROW|1952,1953,ROHROW,11.7538,10.249,12.026,90.0,90.0,108.311,4.99,1.204
HOMOLUMOCHON_final|ROMHUX|1953,1954,ROMHUX,7.4941,8.373,24.77,90.0,90.0,97.455,3.66,1.342
HOMOLUMOCHON_final|ROZHEU|1954,1955,ROZHEU,9.316,17.611,7.964,90.0,90.0,90.0,4.19,1.689
HOMOLUMOCHON_final|RUDZAS|1955,1956,RUDZAS,5.7166,11.1175,32.083,90.0,90.0,90.0,5.87,1.34
HOMOLUMOCHON_final|RUGCEC|1956,1957,RUGCEC,11.6532,7.269,29.768,90.0,90.0,96.005,3.63,1.265
HOMOLUMOCHON_final|RUGCOM|1957,1958,RUGCOM,17.691,7.1368,17.264,90.0,90.0,117.104,7.93,1.347
HOMOLUMOCHON_final|RUGCUS|1958,1959,RUGCUS,10.0529,11.651,18.6481,90.0,90.0,93.714,4.78,1.285
HOMOLUMOCHON_final|RUGDED|1959,1960,RUGDED,13.7706,8.9181,19.0787,90.0,90.0,103.889,5.08,1.251
HOMOLUMOCHON_final|RUGJEJ|1960,1961,RUGJEJ,9.1391,8.7465,14.442,90.0,90.0,103.786,2.9,1.343
HOMOLUMOCHON_final|RUGKUA|1961,1962,RUGKUA,9.3194,9.3194,17.442,90.0,90.0,90.0,3.57,1.207
HOMOLUMOCHON_final|RUGMEM|1962,1963,RUGMEM,11.3859,7.5746,21.0008,90.0,90.0,107.202,6.71,1.433
HOMOLUMOCHON_final|RUGQOA|1963,1964,RUGQOA,8.8,12.534,12.829,90.0,90.0,90.0,3.42,1.977
HOMOLUMOCHON_final|RUJQIX|1964,1965,RUJQIX,12.6013,10.6114,9.2967,90.0,90.0,93.874,3.8,1.33
HOMOLUMOCHON_final|RUKGOU|1965,1966,RUKGOU,10.2937,16.8895,9.6065,90.0,90.0,112.282,3.51,1.403
HOMOLUMOCHON_final|RULSUN|1966,1967,RULSUN,14.572,11.085,14.933,90.0,90.0,116.922,2.68,1.22
HOMOLUMOCHON_final|RUVQAB|1967,1968,RUVQAB,7.2289,10.044,15.247,96.133,108.676,96.304,5.35,1.355
HOMOLUMOCHON_final|RUXKIF|1968,1969,RUXKIF,14.1513,8.328,13.756,90.0,90.0,104.075,4.21,1.362
HOMOLUMOCHON_final|RUXKOL|1969,1970,RUXKOL,8.0694,12.6468,13.1813,79.055,81.635,83.076,4.29,1.37
HOMOLUMOCHON_final|SABBII|1970,1971,SABBII,12.4352,17.6564,5.0839,90.0,90.0,90.0,3.04,1.436
HOMOLUMOCHON_final|SABFUY|1971,1972,SABFUY,18.8909,6.8398,13.4174,90.0,90.0,107.054,3.26,1.204
HOMOLUMOCHON_final|SACDIL|1972,1973,SACDIL,10.6498,9.4172,12.9682,90.0,90.0,96.359,4.87,1.394
HOMOLUMOCHON_final|SADLAM|1973,1974,SADLAM,6.6544,14.0082,17.2852,90.0,90.0,98.891,8.21,1.499
HOMOLUMOCHON_final|SAFWUT|1974,1975,SAFWUT,9.3125,10.0941,12.9955,91.958,114.465,107.752,6.94,1.393
HOMOLUMOCHON_final|SAGQAU|1975,1976,SAGQAU,5.9354,13.3091,22.1511,90.0,90.0,90.0,2.68,1.22
HOMOLUMOCHON_final|SAHQAV|1976,1977,SAHQAV,18.558,6.8755,15.82,90.0,90.0,110.613,4.9,1.401
HOMOLUMOCHON_final|SAHXEG|1977,1978,SAHXEG,5.6234,11.2327,25.114,90.0,90.0,90.0,2.48,1.362
HOMOLUMOCHON_final|SAJHUH|1978,1979,SAJHUH,14.094,8.188,19.262,90.0,90.0,96.86,9.92,1.329
HOMOLUMOCHON_final|SAPVIQ|1979,1980,SAPVIQ,8.5768,15.0166,18.426,90.0,90.0,90.0,3.69,1.283
HOMOLUMOCHON_final|SAQHEZ|1980,1981,SAQHEZ,16.0732,7.2497,13.1339,90.0,90.0,91.003,4.16,1.299
HOMOLUMOCHON_final|SATCUM|1981,1982,SATCUM,7.7856,10.4801,16.7489,90.0,90.0,90.0,4.41,1.353
HOMOLUMOCHON_final|SAVCEY|1982,1983,SAVCEY,5.6653,9.9138,35.868,82.928,81.801,89.815,6.58,1.098
HOMOLUMOCHON_final|SAVYUK|1983,1984,SAVYUK,13.8531,8.9083,12.8238,90.0,90.0,107.695,4.57,1.244
HOMOLUMOCHON_final|SAWNAG|1984,1985,SAWNAG,20.478,8.647,9.235,90.0,90.0,90.0,3.7,1.245
HOMOLUMOCHON_final|SAZFIJ01|1985,1986,SAZFIJ01,4.538,15.44,18.722,90.0,90.0,90.502,4.75,1.272
HOMOLUMOCHON_final|SEBQUM|1986,1987,SEBQUM,7.332,8.9703,14.588,73.464,77.268,84.582,4.05,1.205
HOMOLUMOCHON_final|SELVUB|1987,1988,SELVUB,9.5255,10.5137,16.1411,103.771,110.545,99.338,3.98,1.362
HOMOLUMOCHON_final|SELWAI|1988,1989,SELWAI,8.178,12.3849,25.8621,90.0,90.0,90.0,3.71,1.341
HOMOLUMOCHON_final|SEMMED|1989,1990,SEMMED,12.623,6.94,13.216,90.0,90.0,106.34,6.11,1.245
HOMOLUMOCHON_final|SEPDIA02|1990,1991,SEPDIA02,21.629,3.7334,16.045,90.0,90.0,126.85,6.78,1.552
HOMOLUMOCHON_final|SESYAR|1991,1992,SESYAR,10.1225,15.8036,8.2249,90.0,90.0,99.562,4.11,1.368
HOMOLUMOCHON_final|SEVKEK|1992,1993,SEVKEK,5.04,20.6432,17.8496,90.0,90.0,93.204,6.04,1.348
HOMOLUMOCHON_final|SIGQOP|1993,1994,SIGQOP,17.096,12.087,7.9004,90.0,90.0,97.942,4.59,1.32
HOMOLUMOCHON_final|SIHPEG|1994,1995,SIHPEG,5.07421,16.0251,15.7047,90.0,90.0,97.303,3.85,1.496
HOMOLUMOCHON_final|SILPAF|1995,1996,SILPAF,4.7749,18.8511,16.0164,90.0,90.0,97.931,4.43,1.374
HOMOLUMOCHON_final|SILTOW11|1996,1997,SILTOW11,4.6868,18.4268,14.7201,90.0,90.0,90.5,4.65,1.579
HOMOLUMOCHON_final|SINMEI|1997,1998,SINMEI,5.446,12.8588,17.357,90.0,90.0,90.0,3.5,1.559
HOMOLUMOCHON_final|SINMIM|1998,1999,SINMIM,7.7456,10.6611,14.2043,90.0,90.0,90.0,3.36,1.468
HOMOLUMOCHON_final|SINMOS|1999,2000,SINMOS,8.4835,8.4835,19.298,90.0,90.0,90.0,4.33,1.441
HOMOLUMOCHON_final|SIZBOT|2000,2001,SIZBOT,8.0817,14.5195,17.141,90.0,90.0,90.0,3.3,1.306
HOMOLUMOCHON_final|SIZRUP|2001,2002,SIZRUP,10.266,10.956,19.025,90.0,90.0,90.0,4.43,1.259
HOMOLUMOCHON_final|SOBYIS|2002,2003,SOBYIS,9.7429,14.4948,9.332,90.0,90.0,112.395,3.69,1.348
HOMOLUMOCHON_final|SOGYIX|2003,2004,SOGYIX,4.6669,22.465,13.784,90.0,90.0,97.601,5.24,1.504
HOMOLUMOCHON_final|SOHXIX|2004,2005,SOHXIX,11.3512,13.2373,14.0721,90.0,90.0,90.0,4.34,1.126
HOMOLUMOCHON_final|SOHXUJ|2005,2006,SOHXUJ,7.7362,6.0752,35.758,90.0,90.0,90.74,7.73,1.235
HOMOLUMOCHON_final|SOJYAS|2006,2007,SOJYAS,7.8294,9.0047,22.0941,90.0,90.0,90.0,2.63,1.421
HOMOLUMOCHON_final|SOLGOQ01|2007,2008,SOLGOQ01,12.5793,12.7167,15.4971,90.0,90.0,105.736,4.3,1.327
HOMOLUMOCHON_final|SOLKIO|2008,2009,SOLKIO,12.5396,9.184,14.041,90.0,90.0,96.613,3.22,1.345
HOMOLUMOCHON_final|SOLWUM|2009,2010,SOLWUM,6.5315,12.3946,12.8853,62.973,85.103,86.347,4.68,1.204
HOMOLUMOCHON_final|SOQVEZ01|2010,2011,SOQVEZ01,5.9978,9.195,27.451,90.0,90.0,90.0,6.39,1.221
HOMOLUMOCHON_final|SORYEE|2011,2012,SORYEE,6.9145,9.628,20.62,90.0,90.0,90.0,5.74,1.472
HOMOLUMOCHON_final|SOWQUR|2012,2013,SOWQUR,19.8437,5.5447,17.6217,90.0,90.0,103.851,4.48,1.237
HOMOLUMOCHON_final|SOXBEN|2013,2014,SOXBEN,8.7939,9.7102,13.0745,83.201,84.206,71.011,4.36,1.341
HOMOLUMOCHON_final|SOXCIS|2014,2015,SOXCIS,12.5225,8.4242,13.9239,90.0,90.0,112.577,3.57,1.294
HOMOLUMOCHON_final|SOYJEW|2015,2016,SOYJEW,20.8125,6.7412,8.0793,90.0,90.0,90.863,6.47,1.396
HOMOLUMOCHON_final|SOYNAW|2016,2017,SOYNAW,14.5588,10.3633,9.3667,90.0,90.0,90.118,5.23,1.256
HOMOLUMOCHON_final|SOYQUT|2017,2018,SOYQUT,10.5128,12.1096,12.5235,90.0,90.0,96.948,4.82,1.328
HOMOLUMOCHON_final|SUGYOJ|2018,2019,SUGYOJ,11.298,11.298,19.444,90.0,90.0,90.0,3.14,1.099
HOMOLUMOCHON_final|SUJVOJ|2019,2020,SUJVOJ,6.052,12.031,23.08,90.0,90.0,91.16,7.05,1.326
HOMOLUMOCHON_final|SUMCUZ|2020,2021,SUMCUZ,11.332,17.217,7.5306,90.0,90.0,107.218,5.1,1.365
HOMOLUMOCHON_final|SUNVUT|2021,2022,SUNVUT,14.1257,7.8617,15.8007,90.0,90.0,98.955,3.52,1.327
HOMOLUMOCHON_final|SUNWAA|2022,2023,SUNWAA,18.927,9.9021,9.5588,90.0,90.0,117.295,4.06,1.445
HOMOLUMOCHON_final|SUQDOY|2023,2024,SUQDOY,10.6723,11.7713,12.3081,90.0,90.0,90.0,3.5,1.329
HOMOLUMOCHON_final|SUQKEV|2024,2025,SUQKEV,8.6537,9.4166,13.4394,90.0,90.0,90.0,5.0,1.318
HOMOLUMOCHON_final|SUTHUL|2025,2026,SUTHUL,13.3584,7.6729,10.9025,90.0,90.0,101.57,10.62,1.5
HOMOLUMOCHON_final|SUTLUP|2026,2027,SUTLUP,8.8288,12.694,12.934,118.794,95.571,91.381,4.68,1.301
HOMOLUMOCHON_final|SUTSEF|2027,2028,SUTSEF,7.195,11.971,23.929,90.0,90.0,90.0,2.71,1.278
HOMOLUMOCHON_final|SUVBER|2028,2029,SUVBER,6.725,10.196,13.85,90.0,90.0,94.03,6.72,1.229
HOMOLUMOCHON_final|SUVBOB|2029,2030,SUVBOB,7.455,7.68,20.116,90.0,90.0,99.97,4.95,1.284
HOMOLUMOCHON_final|SUZSIQ|2030,2031,SUZSIQ,8.8026,11.5133,11.6981,66.86,71.115,86.545,4.78,1.448
HOMOLUMOCHON_final|SUZSUC|2031,2032,SUZSUC,9.3252,12.1781,12.9821,67.48,69.475,86.093,4.44,1.281
HOMOLUMOCHON_final|TABQEU|2032,2033,TABQEU,14.5008,8.9511,14.8771,90.0,90.0,107.092,4.5,1.369
HOMOLUMOCHON_final|TADTAU|2033,2034,TADTAU,25.086,7.1225,8.2529,90.0,90.0,104.87,5.76,1.437
HOMOLUMOCHON_final|TADTOJ|2034,2035,TADTOJ,9.985,10.381,18.862,90.0,90.0,90.0,5.31,1.221
HOMOLUMOCHON_final|TAFPAT|2035,2036,TAFPAT,9.5349,10.3815,13.64,68.248,65.462,71.532,5.06,1.286
HOMOLUMOCHON_final|TAPPOQ|2036,2037,TAPPOQ,7.61,8.8817,16.41,90.0,90.0,94.682,3.79,1.377
HOMOLUMOCHON_final|TATMUX|2037,2038,TATMUX,7.724,8.59,14.83,82.446,77.608,77.047,4.15,1.379
HOMOLUMOCHON_final|TATNEI|2038,2039,TATNEI,8.672,9.175,13.996,83.3,81.591,76.978,3.74,1.34
HOMOLUMOCHON_final|TATNOS|2039,2040,TATNOS,10.5188,14.2466,14.9179,90.0,90.0,108.088,3.53,1.349
HOMOLUMOCHON_final|TAVFAY|2040,2041,TAVFAY,5.198,16.182,21.494,90.0,90.0,90.0,5.83,1.276
HOMOLUMOCHON_final|TAWZAT|2041,2042,TAWZAT,10.9502,9.038,11.4961,90.0,90.0,91.385,5.38,1.213
HOMOLUMOCHON_final|TAZXIC|2042,2043,TAZXIC,30.985,3.8628,14.4975,90.0,90.0,94.831,3.78,1.415
HOMOLUMOCHON_final|TEHVAE|2043,2044,TEHVAE,5.9422,17.2973,19.8338,90.0,90.0,90.0,3.35,1.301
HOMOLUMOCHON_final|TEHVEI|2044,2045,TEHVEI,10.376,15.837,10.742,90.0,90.0,94.613,4.3,1.426
HOMOLUMOCHON_final|TETNOW|2045,2046,TETNOW,7.942,10.334,19.787,90.0,90.0,92.16,5.3,1.303
HOMOLUMOCHON_final|TEZFUA|2046,2047,TEZFUA,8.6995,13.6874,14.36,90.0,90.0,90.0,3.22,1.381
HOMOLUMOCHON_final|THALID12|2047,2048,THALID12,8.3156,9.9732,14.574,90.0,90.0,102.762,4.67,1.455
HOMOLUMOCHON_final|THYDIN04|2048,2049,THYDIN04,4.8462,13.901,16.316,90.0,90.0,90.0,1.6,1.464
HOMOLUMOCHON_final|TICTUU|2049,2050,TICTUU,7.939,7.713,25.291,90.0,90.0,90.0,4.2,1.336
HOMOLUMOCHON_final|TIHHIC|2050,2051,TIHHIC,6.6179,7.4711,23.1087,90.0,90.0,90.0,3.41,1.356
HOMOLUMOCHON_final|TIJRUA|2051,2052,TIJRUA,8.2901,20.7103,7.5758,90.0,90.0,105.953,3.68,1.563
HOMOLUMOCHON_final|TINWUJ|2052,2053,TINWUJ,5.0179,17.3056,11.5804,90.0,90.0,94.487,3.5,1.578
HOMOLUMOCHON_final|TIQWOG|2053,2054,TIQWOG,6.9977,15.7524,9.6024,90.0,90.0,91.813,3.38,1.339
HOMOLUMOCHON_final|TISMOY|2054,2055,TISMOY,14.564,15.281,7.217,90.0,90.0,93.22,2.61,1.439
HOMOLUMOCHON_final|TIWBIL|2055,2056,TIWBIL,7.4682,16.0485,22.0992,90.0,90.0,90.0,4.3,1.401
HOMOLUMOCHON_final|TOKSAO|2056,2057,TOKSAO,15.837,5.491,11.723,90.0,90.0,99.76,4.17,1.416
HOMOLUMOCHON_final|TOMXID|2057,2058,TOMXID,5.6073,10.3774,20.89,90.0,90.0,90.0,3.2,1.329
HOMOLUMOCHON_final|TUDZOI|2058,2059,TUDZOI,5.6078,13.766,30.183,90.0,90.0,90.0,4.36,1.321
HOMOLUMOCHON_final|TUNRAW|2059,2060,TUNRAW,11.4863,6.0053,20.3667,90.0,90.0,93.525,4.37,1.309
HOMOLUMOCHON_final|TUPSED|2060,2061,TUPSED,15.8724,6.0971,17.9313,90.0,90.0,90.961,3.89,1.334
HOMOLUMOCHON_final|TUQJOF|2061,2062,TUQJOF,4.7966,34.268,8.3795,90.0,90.0,96.203,7.36,1.297
HOMOLUMOCHON_final|TUQKAS|2062,2063,TUQKAS,23.688,3.7862,11.573,90.0,90.0,90.0,3.63,1.486
HOMOLUMOCHON_final|TUTVUA|2063,2064,TUTVUA,17.0236,6.2416,20.026,90.0,90.0,105.057,3.48,1.304
HOMOLUMOCHON_final|TUYFUP|2064,2065,TUYFUP,12.2937,9.3548,12.6676,90.0,90.0,94.812,3.38,1.189
HOMOLUMOCHON_final|UBAGOV|2065,2066,UBAGOV,8.3327,18.8237,7.0193,90.0,90.0,91.799,4.08,1.541
HOMOLUMOCHON_final|UBOHAW|2066,2067,UBOHAW,15.6162,11.6992,11.9116,90.0,90.0,96.121,4.6,1.334
HOMOLUMOCHON_final|UBOREK|2067,2068,UBOREK,11.2007,11.7676,15.1637,73.5415,79.0934,87.9661,6.29,1.371
HOMOLUMOCHON_final|UBUJEG|2068,2069,UBUJEG,10.058,11.058,11.159,90.0,90.0,111.93,3.52,1.354
HOMOLUMOCHON_final|UCAXUT|2069,2070,UCAXUT,10.5196,11.1008,16.8401,90.0,90.0,90.0,8.34,1.163
HOMOLUMOCHON_final|UCEWIJ|2070,2071,UCEWIJ,20.673,10.939,7.5738,90.0,90.0,90.0,4.08,1.355
HOMOLUMOCHON_final|UCIPON|2071,2072,UCIPON,7.1044,11.6958,13.3132,84.733,79.155,83.587,4.3,1.531
HOMOLUMOCHON_final|UCIPUT|2072,2073,UCIPUT,28.7457,11.6165,4.2085,90.0,90.0,90.0,4.54,1.448
HOMOLUMOCHON_final|UCIXOT|2073,2074,UCIXOT,12.3497,7.8616,14.6822,90.0,90.0,105.566,4.09,1.53
HOMOLUMOCHON_final|UCOHIF|2074,2075,UCOHIF,9.8858,8.2382,13.6521,90.0,90.0,93.48,2.98,1.36
