Entry,Index,NAME,a,b,c,alpha,gamma,beta,r_factor,calculated_density
HOMOLUMOCHON_final|IVOGIK|154,155,IVOGIK,9.2557,11.2039,11.3211,90.0,90.0,100.55,3.43,1.377
HOMOLUMOCHON_final|IWATIJ|155,156,IWATIJ,8.981,9.25,16.753,90.0,90.0,90.0,4.87,1.047
HOMOLUMOCHON_final|IXEQIM|156,157,IXEQIM,10.2602,9.2476,17.478,90.0,90.0,99.84,5.13,1.367
HOMOLUMOCHON_final|IXESEK|157,158,IXESEK,9.3827,17.595,10.9841,90.0,90.0,112.618,3.69,1.335
HOMOLUMOCHON_final|JAVYUB|158,159,JAVYUB,10.2667,9.0179,14.7214,90.0,90.0,90.168,6.67,1.205
HOMOLUMOCHON_final|JAXHUM|159,160,JAXHUM,6.936,16.389,9.833,90.0,90.0,92.78,6.3,1.269
HOMOLUMOCHON_final|JEFBEC|160,161,JEFBEC,5.682,18.949,23.927,90.0,90.0,94.539,5.7,1.362
HOMOLUMOCHON_final|JEKYII|161,162,JEKYII,18.028,6.7876,18.878,90.0,90.0,118.476,4.51,1.205
HOMOLUMOCHON_final|JOFGAN|162,163,JOFGAN,14.4982,6.9025,16.9842,90.0,90.0,111.659,8.1,1.263
HOMOLUMOCHON_final|JUQKUB|163,164,JUQKUB,14.607,9.031,15.936,90.0,90.0,110.05,5.75,1.27
HOMOLUMOCHON_final|KANYUU01|164,165,KANYUU01,7.9745,16.072,10.223,90.0,90.0,110.051,4.96,1.308
HOMOLUMOCHON_final|KAXWOW|165,166,KAXWOW,9.7829,12.1737,12.9452,90.0,90.0,90.0,4.06,1.328
HOMOLUMOCHON_final|KODWOQ|166,167,KODWOQ,6.3833,34.0679,8.519,90.0,90.0,100.654,5.6,1.198
HOMOLUMOCHON_final|KOJGUM|167,168,KOJGUM,11.194,9.373,15.373,90.0,90.0,105.959,4.36,1.458
HOMOLUMOCHON_final|KUJSOY|168,169,KUJSOY,11.2511,12.4067,17.7933,96.813,116.369,91.644,4.69,1.131
